Frequence = 10 Ghz;
N = 5784;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000190142; Faza = -118.582 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1230   X = 20 mm; Y = 839 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1231   X = 20 mm; Y = 841 mm; Amplitude = 0.000261847; Faza = 105.447 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1232   X = 20 mm; Y = 841 mm; Amplitude = 8.5011e-005; Faza = -92.2642 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1233   X = 20 mm; Y = 841 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1234   X = 20 mm; Y = 843 mm; Amplitude = 0.000231368; Faza = 85.7795 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1235   X = 20 mm; Y = 843 mm; Amplitude = 5.37623e-005; Faza = -111.945 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1236   X = 20 mm; Y = 843 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1237   X = 20 mm; Y = 845 mm; Amplitude = 0.000199704; Faza = 62.776 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1238   X = 20 mm; Y = 845 mm; Amplitude = 2.7171e-005; Faza = -154.366 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1239   X = 20 mm; Y = 845 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1240   X = 20 mm; Y = 847 mm; Amplitude = 0; Faza = 35.3395 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1241   X = 20 mm; Y = 847 mm; Amplitude = 0; Faza = -235.286 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1242   X = 20 mm; Y = 847 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1243   X = 20 mm; Y = 849 mm; Amplitude = 0; Faza = 4.10397 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1244   X = 20 mm; Y = 849 mm; Amplitude = 0; Faza = 88.2988 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1245   X = 20 mm; Y = 849 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1246   X = 20 mm; Y = 851 mm; Amplitude = 0.000166596; Faza = -27.2649 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1247   X = 20 mm; Y = 851 mm; Amplitude = 7.44355e-005; Faza = 69.3974 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1248   X = 20 mm; Y = 851 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1249   X = 20 mm; Y = 853 mm; Amplitude = 0.000182736; Faza = -55.1404 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1250   X = 20 mm; Y = 853 mm; Amplitude = 9.09436e-005; Faza = 54.7024 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1251   X = 20 mm; Y = 853 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1252   X = 20 mm; Y = 855 mm; Amplitude = 0.000202287; Faza = -78.9579 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1253   X = 20 mm; Y = 855 mm; Amplitude = 0.000100524; Faza = 41.2081 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1254   X = 20 mm; Y = 855 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1255   X = 20 mm; Y = 857 mm; Amplitude = 0.000218684; Faza = -99.8856 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1256   X = 20 mm; Y = 857 mm; Amplitude = 0.00010288; Faza = 27.7638 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1257   X = 20 mm; Y = 857 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1258   X = 20 mm; Y = 859 mm; Amplitude = 0.000228083; Faza = -119.227 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1259   X = 20 mm; Y = 859 mm; Amplitude = 9.84789e-005; Faza = 13.5889 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1260   X = 20 mm; Y = 859 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1261   X = 20 mm; Y = 861 mm; Amplitude = 0.000228923; Faza = -138.039 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1262   X = 20 mm; Y = 861 mm; Amplitude = 8.85151e-005; Faza = -2.21855 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1263   X = 20 mm; Y = 861 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1264   X = 20 mm; Y = 863 mm; Amplitude = 0.000221509; Faza = -157.215 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1265   X = 20 mm; Y = 863 mm; Amplitude = 7.49986e-005; Faza = -21.0816 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1266   X = 20 mm; Y = 863 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1267   X = 20 mm; Y = 865 mm; Amplitude = 0.000207806; Faza = -177.603 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1268   X = 20 mm; Y = 865 mm; Amplitude = 6.10697e-005; Faza = -45.3511 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1269   X = 20 mm; Y = 865 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1270   X = 20 mm; Y = 867 mm; Amplitude = 0.000191303; Faza = 159.986 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1271   X = 20 mm; Y = 867 mm; Amplitude = 5.14145e-005; Faza = -77.3661 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1272   X = 20 mm; Y = 867 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1273   X = 20 mm; Y = 869 mm; Amplitude = 0.000176628; Faza = 135.046 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1274   X = 20 mm; Y = 869 mm; Amplitude = 5.0586e-005; Faza = -113.745 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1275   X = 20 mm; Y = 869 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1276   X = 20 mm; Y = 871 mm; Amplitude = 0.00016838; Faza = 108.005 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1277   X = 20 mm; Y = 871 mm; Amplitude = 5.77016e-005; Faza = -145.181 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1278   X = 20 mm; Y = 871 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1279   X = 20 mm; Y = 873 mm; Amplitude = 0.000168853; Faza = 80.5903 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1280   X = 20 mm; Y = 873 mm; Amplitude = 6.73391e-005; Faza = -168.938 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1281   X = 20 mm; Y = 873 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1282   X = 20 mm; Y = 875 mm; Amplitude = 0.0001764; Faza = 54.8303 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1283   X = 20 mm; Y = 875 mm; Amplitude = 7.49856e-005; Faza = -187.461 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1284   X = 20 mm; Y = 875 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1285   X = 20 mm; Y = 877 mm; Amplitude = 0.000186572; Faza = 31.659 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1286   X = 20 mm; Y = 877 mm; Amplitude = 7.80475e-005; Faza = -202.994 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1287   X = 20 mm; Y = 877 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1288   X = 20 mm; Y = 879 mm; Amplitude = 0.000194593; Faza = 10.8631 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1289   X = 20 mm; Y = 879 mm; Amplitude = 7.51806e-005; Faza = -216.857 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1290   X = 20 mm; Y = 879 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1291   X = 20 mm; Y = 881 mm; Amplitude = 0.000196769; Faza = -8.24798 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1292   X = 20 mm; Y = 881 mm; Amplitude = 6.58695e-005; Faza = -229.859 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1293   X = 20 mm; Y = 881 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1294   X = 20 mm; Y = 883 mm; Amplitude = 0.000190806; Faza = -26.4479 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1295   X = 20 mm; Y = 883 mm; Amplitude = 5.02465e-005; Faza = -242.747 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1296   X = 20 mm; Y = 883 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1297   X = 20 mm; Y = 885 mm; Amplitude = 0.000175742; Faza = -44.567 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1298   X = 20 mm; Y = 885 mm; Amplitude = 2.90295e-005; Faza = -257.407 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1299   X = 20 mm; Y = 885 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1300   X = 20 mm; Y = 887 mm; Amplitude = 0.000151952; Faza = -63.7377 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1301   X = 20 mm; Y = 887 mm; Amplitude = 4.95831e-006; Faza = 44.8069 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1302   X = 20 mm; Y = 887 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1303   X = 20 mm; Y = 889 mm; Amplitude = 0; Faza = -86.0907 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1304   X = 20 mm; Y = 889 mm; Amplitude = 0; Faza = -82.022 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1305   X = 20 mm; Y = 889 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1306   X = 20 mm; Y = 891 mm; Amplitude = 0; Faza = -116.581 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1307   X = 20 mm; Y = 891 mm; Amplitude = 0; Faza = -97.1443 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1308   X = 20 mm; Y = 891 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1309   X = 20 mm; Y = 893 mm; Amplitude = 0; Faza = -163.21 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1310   X = 20 mm; Y = 893 mm; Amplitude = 0; Faza = -108.826 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1311   X = 20 mm; Y = 893 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1312   X = 20 mm; Y = 895 mm; Amplitude = 8.65775e-005; Faza = 146.476 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1313   X = 20 mm; Y = 895 mm; Amplitude = 0.000113446; Faza = -119.647 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1314   X = 20 mm; Y = 895 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1315   X = 20 mm; Y = 897 mm; Amplitude = 0.000123658; Faza = 112.977 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1316   X = 20 mm; Y = 897 mm; Amplitude = 0.000136383; Faza = -130.128 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1317   X = 20 mm; Y = 897 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1318   X = 20 mm; Y = 899 mm; Amplitude = 0.000166032; Faza = 90.2808 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1319   X = 20 mm; Y = 899 mm; Amplitude = 0.000153508; Faza = -140.471 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1320   X = 20 mm; Y = 899 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1321   X = 20 mm; Y = 901 mm; Amplitude = 0.000205171; Faza = 72.2499 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1322   X = 20 mm; Y = 901 mm; Amplitude = 0.000163661; Faza = -150.803 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1323   X = 20 mm; Y = 901 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1324   X = 20 mm; Y = 903 mm; Amplitude = 0.000236533; Faza = 56.2958 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1325   X = 20 mm; Y = 903 mm; Amplitude = 0.000166171; Faza = -161.239 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1326   X = 20 mm; Y = 903 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1327   X = 20 mm; Y = 905 mm; Amplitude = 0.000257368; Faza = 41.2188 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1328   X = 20 mm; Y = 905 mm; Amplitude = 0.000160911; Faza = -171.914 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1329   X = 20 mm; Y = 905 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1330   X = 20 mm; Y = 907 mm; Amplitude = 0.000266272; Faza = 26.3112 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1331   X = 20 mm; Y = 907 mm; Amplitude = 0.000148336; Faza = -183.025 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1332   X = 20 mm; Y = 907 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1333   X = 20 mm; Y = 909 mm; Amplitude = 0.000263168; Faza = 11.016 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1334   X = 20 mm; Y = 909 mm; Amplitude = 0.000129476; Faza = -194.901 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1335   X = 20 mm; Y = 909 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1336   X = 20 mm; Y = 911 mm; Amplitude = 0.00024936; Faza = -5.23722 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1337   X = 20 mm; Y = 911 mm; Amplitude = 0.000105921; Faza = -208.17 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1338   X = 20 mm; Y = 911 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1339   X = 20 mm; Y = 913 mm; Amplitude = 0.00022756; Faza = -23.1375 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1340   X = 20 mm; Y = 913 mm; Amplitude = 7.98466e-005; Faza = -224.212 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1341   X = 20 mm; Y = 913 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1342   X = 20 mm; Y = 915 mm; Amplitude = 0.000201903; Faza = -43.5371 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1343   X = 20 mm; Y = 915 mm; Amplitude = 5.4364e-005; Faza = -246.602 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1344   X = 20 mm; Y = 915 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1345   X = 20 mm; Y = 917 mm; Amplitude = 0.000177796; Faza = -67.272 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1346   X = 20 mm; Y = 917 mm; Amplitude = 3.52614e-005; Faza = 75.4079 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1347   X = 20 mm; Y = 917 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1348   X = 20 mm; Y = 919 mm; Amplitude = 0.000161018; Faza = -94.4096 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1349   X = 20 mm; Y = 919 mm; Amplitude = 3.25804e-005; Faza = 20.6421 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1350   X = 20 mm; Y = 919 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1351   X = 20 mm; Y = 921 mm; Amplitude = 0.00015518; Faza = -123.216 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1352   X = 20 mm; Y = 921 mm; Amplitude = 4.3332e-005; Faza = -18.5681 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1353   X = 20 mm; Y = 921 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1354   X = 20 mm; Y = 923 mm; Amplitude = 0.00015895; Faza = -150.842 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1355   X = 20 mm; Y = 923 mm; Amplitude = 5.48201e-005; Faza = -42.5976 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1356   X = 20 mm; Y = 923 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1357   X = 20 mm; Y = 925 mm; Amplitude = 0.000167018; Faza = -175.691 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1358   X = 20 mm; Y = 925 mm; Amplitude = 6.18792e-005; Faza = -61.114 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1359   X = 20 mm; Y = 925 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1360   X = 20 mm; Y = 927 mm; Amplitude = 0.00017377; Faza = 162.005 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1361   X = 20 mm; Y = 927 mm; Amplitude = 6.31541e-005; Faza = -78.2935 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1362   X = 20 mm; Y = 927 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1363   X = 20 mm; Y = 929 mm; Amplitude = 0.000175452; Faza = 141.207 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1364   X = 20 mm; Y = 929 mm; Amplitude = 5.8875e-005; Faza = -96.5885 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1365   X = 20 mm; Y = 929 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1366   X = 20 mm; Y = 931 mm; Amplitude = 0.00017051; Faza = 120.736 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1367   X = 20 mm; Y = 931 mm; Amplitude = 5.06267e-005; Faza = -118.824 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1368   X = 20 mm; Y = 931 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1369   X = 20 mm; Y = 933 mm; Amplitude = 0.000159404; Faza = 99.3579 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1370   X = 20 mm; Y = 933 mm; Amplitude = 4.2084e-005; Faza = -149.357 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1371   X = 20 mm; Y = 933 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1372   X = 20 mm; Y = 935 mm; Amplitude = 0.000144591; Faza = 75.6803 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1373   X = 20 mm; Y = 935 mm; Amplitude = 3.99274e-005; Faza = -189.823 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1374   X = 20 mm; Y = 935 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1375   X = 20 mm; Y = 937 mm; Amplitude = 0; Faza = 48.322 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1376   X = 20 mm; Y = 937 mm; Amplitude = 0; Faza = -228.002 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1377   X = 20 mm; Y = 937 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1378   X = 20 mm; Y = 939 mm; Amplitude = 0; Faza = 17.1554 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1379   X = 20 mm; Y = 939 mm; Amplitude = 0; Faza = -255.182 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1380   X = 20 mm; Y = 939 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1381   X = 20 mm; Y = 941 mm; Amplitude = 0.000129371; Faza = -14.9147 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1382   X = 20 mm; Y = 941 mm; Amplitude = 8.18932e-005; Faza = 85.2891 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1383   X = 20 mm; Y = 941 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1384   X = 20 mm; Y = 943 mm; Amplitude = 0.000145812; Faza = -43.8371 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1385   X = 20 mm; Y = 943 mm; Amplitude = 9.74496e-005; Faza = 69.808 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1386   X = 20 mm; Y = 943 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1387   X = 20 mm; Y = 945 mm; Amplitude = 0.000167941; Faza = -68.2483 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1388   X = 20 mm; Y = 945 mm; Amplitude = 0.000109129; Faza = 56.559 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1389   X = 20 mm; Y = 945 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1390   X = 20 mm; Y = 947 mm; Amplitude = 0.000190054; Faza = -89.0124 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1391   X = 20 mm; Y = 947 mm; Amplitude = 0.000115646; Faza = 44.6914 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1392   X = 20 mm; Y = 947 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1393   X = 20 mm; Y = 949 mm; Amplitude = 0.000207941; Faza = -107.355 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1394   X = 20 mm; Y = 949 mm; Amplitude = 0.000116291; Faza = 33.8248 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1395   X = 20 mm; Y = 949 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1396   X = 20 mm; Y = 951 mm; Amplitude = 0.000218878; Faza = -124.209 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1397   X = 20 mm; Y = 951 mm; Amplitude = 0.000110867; Faza = 23.8585 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1398   X = 20 mm; Y = 951 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1399   X = 20 mm; Y = 953 mm; Amplitude = 0.000221318; Faza = -140.213 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1400   X = 20 mm; Y = 953 mm; Amplitude = 9.96612e-005; Faza = 14.9502 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1401   X = 20 mm; Y = 953 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1402   X = 20 mm; Y = 955 mm; Amplitude = 0.000214641; Faza = -155.823 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1403   X = 20 mm; Y = 955 mm; Amplitude = 8.34501e-005; Faza = 7.6797 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1404   X = 20 mm; Y = 955 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1405   X = 20 mm; Y = 957 mm; Amplitude = 0.000198984; Faza = -171.427 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1406   X = 20 mm; Y = 957 mm; Amplitude = 6.36131e-005; Faza = 3.67481 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1407   X = 20 mm; Y = 957 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1408   X = 20 mm; Y = 959 mm; Amplitude = 0.000175106; Faza = 172.537 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1409   X = 20 mm; Y = 959 mm; Amplitude = 4.28379e-005; Faza = 8.03102 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1410   X = 20 mm; Y = 959 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1411   X = 20 mm; Y = 961 mm; Amplitude = 0.000144334; Faza = 155.357 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1412   X = 20 mm; Y = 961 mm; Amplitude = 2.88919e-005; Faza = 35.307 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1413   X = 20 mm; Y = 961 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1414   X = 20 mm; Y = 963 mm; Amplitude = 0; Faza = 135.423 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1415   X = 20 mm; Y = 963 mm; Amplitude = 0; Faza = 72.8593 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
