Frequence = 40 Ghz;
N = 6894;
1.
1   X = 6 mm; Y = 6.3 mm; Amplitude = 0.00402676; Faza = 139.527 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1422   X = 6 mm; Y = 290.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1423   X = 6 mm; Y = 290.7 mm; Amplitude = 0.00429413; Faza = 137.958 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1424   X = 6 mm; Y = 290.7 mm; Amplitude = 0.00412989; Faza = -41.0859 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1425   X = 6 mm; Y = 290.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1426   X = 6 mm; Y = 291.3 mm; Amplitude = 0.00430572; Faza = 139.779 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1427   X = 6 mm; Y = 291.3 mm; Amplitude = 0.00407412; Faza = -40.338 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1428   X = 6 mm; Y = 291.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1429   X = 6 mm; Y = 291.9 mm; Amplitude = 0.00426731; Faza = 141.057 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1430   X = 6 mm; Y = 291.9 mm; Amplitude = 0.00396142; Faza = -39.944 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1431   X = 6 mm; Y = 291.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1432   X = 6 mm; Y = 292.5 mm; Amplitude = 0.00416313; Faza = 141.567 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1433   X = 6 mm; Y = 292.5 mm; Amplitude = 0.00378889; Faza = -40.1128 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1434   X = 6 mm; Y = 292.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1435   X = 6 mm; Y = 293.1 mm; Amplitude = 0.00397865; Faza = 141.095 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1436   X = 6 mm; Y = 293.1 mm; Amplitude = 0.00355439; Faza = -41.0758 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1437   X = 6 mm; Y = 293.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1438   X = 6 mm; Y = 293.7 mm; Amplitude = 0.00370509; Faza = 139.387 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1439   X = 6 mm; Y = 293.7 mm; Amplitude = 0.00325861; Faza = -43.1257 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1440   X = 6 mm; Y = 293.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1441   X = 6 mm; Y = 294.3 mm; Amplitude = 0.00334361; Faza = 136.058 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1442   X = 6 mm; Y = 294.3 mm; Amplitude = 0.00290728; Faza = -46.6882 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1443   X = 6 mm; Y = 294.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1444   X = 406.8 mm; Y = 6.3 mm; Amplitude = 2.39025e-06; Faza = 113.432 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1445   X = 406.8 mm; Y = 6.3 mm; Amplitude = 1.16705e-06; Faza = 45.8739 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1446   X = 406.8 mm; Y = 6.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1447   X = 406.8 mm; Y = 6.9 mm; Amplitude = 2.66155e-06; Faza = 117.249 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1448   X = 406.8 mm; Y = 6.9 mm; Amplitude = 1.29813e-06; Faza = 49.6212 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1449   X = 406.8 mm; Y = 6.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1450   X = 406.8 mm; Y = 7.5 mm; Amplitude = 2.8948e-06; Faza = 120.326 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1451   X = 406.8 mm; Y = 7.5 mm; Amplitude = 1.40898e-06; Faza = 52.6178 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1452   X = 406.8 mm; Y = 7.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1453   X = 406.8 mm; Y = 8.1 mm; Amplitude = 3.08522e-06; Faza = 122.919 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1454   X = 406.8 mm; Y = 8.1 mm; Amplitude = 1.49784e-06; Faza = 55.1282 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1455   X = 406.8 mm; Y = 8.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1456   X = 406.8 mm; Y = 8.7 mm; Amplitude = 3.22891e-06; Faza = 125.169 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1457   X = 406.8 mm; Y = 8.7 mm; Amplitude = 1.56343e-06; Faza = 57.2978 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1458   X = 406.8 mm; Y = 8.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1459   X = 406.8 mm; Y = 9.3 mm; Amplitude = 3.32384e-06; Faza = 127.169 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1460   X = 406.8 mm; Y = 9.3 mm; Amplitude = 1.60635e-06; Faza = 59.2403 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1461   X = 406.8 mm; Y = 9.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1462   X = 406.8 mm; Y = 9.9 mm; Amplitude = 3.36983e-06; Faza = 128.981 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1463   X = 406.8 mm; Y = 9.9 mm; Amplitude = 1.6268e-06; Faza = 61.0217 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1464   X = 406.8 mm; Y = 9.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1465   X = 406.8 mm; Y = 10.5 mm; Amplitude = 3.36843e-06; Faza = 130.656 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1466   X = 406.8 mm; Y = 10.5 mm; Amplitude = 1.62496e-06; Faza = 62.6706 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1467   X = 406.8 mm; Y = 10.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1468   X = 406.8 mm; Y = 11.1 mm; Amplitude = 3.32252e-06; Faza = 132.229 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1469   X = 406.8 mm; Y = 11.1 mm; Amplitude = 1.60254e-06; Faza = 64.2244 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1470   X = 406.8 mm; Y = 11.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1471   X = 406.8 mm; Y = 11.7 mm; Amplitude = 3.2364e-06; Faza = 133.723 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1472   X = 406.8 mm; Y = 11.7 mm; Amplitude = 1.56103e-06; Faza = 65.7096 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1473   X = 406.8 mm; Y = 11.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1474   X = 406.8 mm; Y = 12.3 mm; Amplitude = 3.11642e-06; Faza = 135.169 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1475   X = 406.8 mm; Y = 12.3 mm; Amplitude = 1.50278e-06; Faza = 67.1488 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1476   X = 406.8 mm; Y = 12.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1477   X = 406.8 mm; Y = 12.9 mm; Amplitude = 2.96833e-06; Faza = 136.579 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1478   X = 406.8 mm; Y = 12.9 mm; Amplitude = 1.43143e-06; Faza = 68.571 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1479   X = 406.8 mm; Y = 12.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1480   X = 406.8 mm; Y = 13.5 mm; Amplitude = 2.79903e-06; Faza = 137.956 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1481   X = 406.8 mm; Y = 13.5 mm; Amplitude = 1.35121e-06; Faza = 70.0154 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1482   X = 406.8 mm; Y = 13.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1483   X = 406.8 mm; Y = 14.1 mm; Amplitude = 2.61631e-06; Faza = 139.324 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1484   X = 406.8 mm; Y = 14.1 mm; Amplitude = 1.26505e-06; Faza = 71.5057 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1485   X = 406.8 mm; Y = 14.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1486   X = 406.8 mm; Y = 14.7 mm; Amplitude = 2.42586e-06; Faza = 140.688 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1487   X = 406.8 mm; Y = 14.7 mm; Amplitude = 1.1756e-06; Faza = 73.0494 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1488   X = 406.8 mm; Y = 14.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1489   X = 406.8 mm; Y = 15.3 mm; Amplitude = 2.23303e-06; Faza = 142.044 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1490   X = 406.8 mm; Y = 15.3 mm; Amplitude = 1.08579e-06; Faza = 74.6674 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1491   X = 406.8 mm; Y = 15.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1492   X = 406.8 mm; Y = 15.9 mm; Amplitude = 2.04343e-06; Faza = 143.419 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1493   X = 406.8 mm; Y = 15.9 mm; Amplitude = 9.96356e-07; Faza = 76.3718 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1494   X = 406.8 mm; Y = 15.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1495   X = 406.8 mm; Y = 16.5 mm; Amplitude = 1.86029e-06; Faza = 144.832 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1496   X = 406.8 mm; Y = 16.5 mm; Amplitude = 9.07741e-07; Faza = 78.1525 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1497   X = 406.8 mm; Y = 16.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1498   X = 406.8 mm; Y = 17.1 mm; Amplitude = 1.68514e-06; Faza = 146.282 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1499   X = 406.8 mm; Y = 17.1 mm; Amplitude = 8.21706e-07; Faza = 80.0243 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1500   X = 406.8 mm; Y = 17.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1501   X = 406.8 mm; Y = 17.7 mm; Amplitude = 1.51986e-06; Faza = 147.785 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1502   X = 406.8 mm; Y = 17.7 mm; Amplitude = 7.3885e-07; Faza = 82.0107 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1503   X = 406.8 mm; Y = 17.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1504   X = 406.8 mm; Y = 18.3 mm; Amplitude = 1.36524e-06; Faza = 149.386 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1505   X = 406.8 mm; Y = 18.3 mm; Amplitude = 6.59218e-07; Faza = 84.1141 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1506   X = 406.8 mm; Y = 18.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1507   X = 406.8 mm; Y = 18.9 mm; Amplitude = 1.21957e-06; Faza = 151.083 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1508   X = 406.8 mm; Y = 18.9 mm; Amplitude = 5.84242e-07; Faza = 86.343 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1509   X = 406.8 mm; Y = 18.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1510   X = 406.8 mm; Y = 19.5 mm; Amplitude = 1.08223e-06; Faza = 152.885 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1511   X = 406.8 mm; Y = 19.5 mm; Amplitude = 5.14732e-07; Faza = 88.7263 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1512   X = 406.8 mm; Y = 19.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1513   X = 406.8 mm; Y = 20.1 mm; Amplitude = 9.53595e-07; Faza = 154.884 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1514   X = 406.8 mm; Y = 20.1 mm; Amplitude = 4.50149e-07; Faza = -268.699 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1515   X = 406.8 mm; Y = 20.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1516   X = 406.8 mm; Y = 20.7 mm; Amplitude = 8.31039e-07; Faza = 157.106 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1517   X = 406.8 mm; Y = 20.7 mm; Amplitude = 3.90013e-07; Faza = -265.918 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1518   X = 406.8 mm; Y = 20.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1519   X = 406.8 mm; Y = 21.3 mm; Amplitude = 7.1476e-07; Faza = 159.646 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1520   X = 406.8 mm; Y = 21.3 mm; Amplitude = 3.34691e-07; Faza = -262.859 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1521   X = 406.8 mm; Y = 21.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1522   X = 406.8 mm; Y = 21.9 mm; Amplitude = 6.05496e-07; Faza = 162.681 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1523   X = 406.8 mm; Y = 21.9 mm; Amplitude = 2.82968e-07; Faza = -259.349 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1524   X = 406.8 mm; Y = 21.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1525   X = 406.8 mm; Y = 22.5 mm; Amplitude = 5.02668e-07; Faza = 166.408 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1526   X = 406.8 mm; Y = 22.5 mm; Amplitude = 2.3456e-07; Faza = -255.164 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1527   X = 406.8 mm; Y = 22.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1528   X = 406.8 mm; Y = 23.1 mm; Amplitude = 4.07705e-07; Faza = 171.156 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1529   X = 406.8 mm; Y = 23.1 mm; Amplitude = 1.90741e-07; Faza = -249.977 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1530   X = 406.8 mm; Y = 23.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1531   X = 406.8 mm; Y = 23.7 mm; Amplitude = 3.22317e-07; Faza = 177.438 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1532   X = 406.8 mm; Y = 23.7 mm; Amplitude = 1.52026e-07; Faza = -243.211 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1533   X = 406.8 mm; Y = 23.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1534   X = 406.8 mm; Y = 24.3 mm; Amplitude = 2.48792e-07; Faza = -173.891 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1535   X = 406.8 mm; Y = 24.3 mm; Amplitude = 1.20022e-07; Faza = -234.349 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1536   X = 406.8 mm; Y = 24.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1537   X = 406.8 mm; Y = 24.9 mm; Amplitude = 1.89221e-07; Faza = -161.62 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1538   X = 406.8 mm; Y = 24.9 mm; Amplitude = 9.60279e-08; Faza = -223.242 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1539   X = 406.8 mm; Y = 24.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1540   X = 406.8 mm; Y = 25.5 mm; Amplitude = 1.47872e-07; Faza = -144.858 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1541   X = 406.8 mm; Y = 25.5 mm; Amplitude = 8.02209e-08; Faza = -210.554 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1542   X = 406.8 mm; Y = 25.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1543   X = 406.8 mm; Y = 26.1 mm; Amplitude = 1.26544e-07; Faza = -125.057 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1544   X = 406.8 mm; Y = 26.1 mm; Amplitude = 7.12659e-08; Faza = -197.779 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1545   X = 406.8 mm; Y = 26.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1546   X = 406.8 mm; Y = 26.7 mm; Amplitude = 1.21036e-07; Faza = -106.922 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1547   X = 406.8 mm; Y = 26.7 mm; Amplitude = 6.72413e-08; Faza = -186.981 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1548   X = 406.8 mm; Y = 26.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1549   X = 406.8 mm; Y = 27.3 mm; Amplitude = 1.23151e-07; Faza = -94.5825 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1550   X = 406.8 mm; Y = 27.3 mm; Amplitude = 6.64441e-08; Faza = -179.438 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1551   X = 406.8 mm; Y = 27.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1552   X = 406.8 mm; Y = 27.9 mm; Amplitude = 1.25833e-07; Faza = -87.8819 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1553   X = 406.8 mm; Y = 27.9 mm; Amplitude = 6.7591e-08; Faza = -174.696 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1554   X = 406.8 mm; Y = 27.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1555   X = 406.8 mm; Y = 28.5 mm; Amplitude = 1.26306e-07; Faza = -85.779 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1556   X = 406.8 mm; Y = 28.5 mm; Amplitude = 6.98914e-08; Faza = -172.759 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1557   X = 406.8 mm; Y = 28.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1558   X = 406.8 mm; Y = 29.1 mm; Amplitude = 1.24746e-07; Faza = -87.269 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1559   X = 406.8 mm; Y = 29.1 mm; Amplitude = 7.29702e-08; Faza = -172.905 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1560   X = 406.8 mm; Y = 29.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1561   X = 406.8 mm; Y = 29.7 mm; Amplitude = 1.22715e-07; Faza = -91.2072 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1562   X = 406.8 mm; Y = 29.7 mm; Amplitude = 7.65072e-08; Faza = -174.267 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1563   X = 406.8 mm; Y = 29.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1564   X = 406.8 mm; Y = 30.3 mm; Amplitude = 1.22092e-07; Faza = -96.7803 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1565   X = 406.8 mm; Y = 30.3 mm; Amplitude = 8.01614e-08; Faza = -176.1 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1566   X = 406.8 mm; Y = 30.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1567   X = 406.8 mm; Y = 30.9 mm; Amplitude = 1.24028e-07; Faza = -102.8 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1568   X = 406.8 mm; Y = 30.9 mm; Amplitude = 8.35106e-08; Faza = -177.791 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1569   X = 406.8 mm; Y = 30.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1570   X = 406.8 mm; Y = 31.5 mm; Amplitude = 1.28241e-07; Faza = -107.949 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1571   X = 406.8 mm; Y = 31.5 mm; Amplitude = 8.626e-08; Faza = -179.112 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1572   X = 406.8 mm; Y = 31.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1573   X = 406.8 mm; Y = 32.1 mm; Amplitude = 1.33918e-07; Faza = -111.747 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1574   X = 406.8 mm; Y = 32.1 mm; Amplitude = 8.81127e-08; Faza = -179.414 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1575   X = 406.8 mm; Y = 32.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1576   X = 406.8 mm; Y = 32.7 mm; Amplitude = 1.40076e-07; Faza = -114.144 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1577   X = 406.8 mm; Y = 32.7 mm; Amplitude = 8.87724e-08; Faza = -178.604 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1578   X = 406.8 mm; Y = 32.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1579   X = 406.8 mm; Y = 33.3 mm; Amplitude = 1.4486e-07; Faza = -114.834 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1580   X = 406.8 mm; Y = 33.3 mm; Amplitude = 8.81054e-08; Faza = -176.739 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1581   X = 406.8 mm; Y = 33.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1582   X = 406.8 mm; Y = 33.9 mm; Amplitude = 1.47757e-07; Faza = -114.473 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1583   X = 406.8 mm; Y = 33.9 mm; Amplitude = 8.61926e-08; Faza = -173.914 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1584   X = 406.8 mm; Y = 33.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1585   X = 406.8 mm; Y = 34.5 mm; Amplitude = 1.48363e-07; Faza = -113.369 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1586   X = 406.8 mm; Y = 34.5 mm; Amplitude = 8.31608e-08; Faza = -170.212 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1587   X = 406.8 mm; Y = 34.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1588   X = 406.8 mm; Y = 35.1 mm; Amplitude = 1.45825e-07; Faza = -111.484 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1589   X = 406.8 mm; Y = 35.1 mm; Amplitude = 7.89962e-08; Faza = -166.394 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1590   X = 406.8 mm; Y = 35.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1591   X = 406.8 mm; Y = 35.7 mm; Amplitude = 1.40521e-07; Faza = -109.515 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1592   X = 406.8 mm; Y = 35.7 mm; Amplitude = 7.3759e-08; Faza = -163.167 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1593   X = 406.8 mm; Y = 35.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1594   X = 406.8 mm; Y = 36.3 mm; Amplitude = 1.32479e-07; Faza = -107.612 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1595   X = 406.8 mm; Y = 36.3 mm; Amplitude = 6.74675e-08; Faza = -160.76 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1596   X = 406.8 mm; Y = 36.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
